
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
8C:FE:74:09:60:F8, 2022-03-08 12:36:40, 2022-03-08 12:36:41,  9, 130, WPA2, CCMP, PSK, -72,        3,        0,   0.  0.  0.  0,   2, SC, 
10:0C:6B:5F:21:7C, 2022-03-08 12:36:40, 2022-03-08 12:36:40,  2,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
06:F0:21:25:24:8F, 2022-03-08 12:29:05, 2022-03-08 12:36:40,  2, 130, OPN, ,   , -35,      892,       12, 172. 22.  2. 51,   4, NFTA, 
22:AD:56:25:E3:2A, 2022-03-08 12:36:38, 2022-03-08 12:36:38, 11,  65, WPA2, CCMP TKIP, PSK, -69,        2,        0,   0.  0.  0.  0,  11, HotspotE32A, 
3C:37:86:51:B3:A2, 2022-03-08 12:36:21, 2022-03-08 12:36:28,  1, 720, WPA2, CCMP, PSK, -69,        6,        4,   0.  0.  0.  0,  17, Service Outlet 2g, 
28:56:5A:C4:C8:06, 2022-03-08 12:36:34, 2022-03-08 12:36:38,  6, 195, WPA2, CCMP, PSK, -70,        4,        0,   0.  0.  0.  0,  10, WIFIC4C802, 
F8:E7:1E:C9:31:E8, 2022-03-08 12:36:31, 2022-03-08 12:36:31,  6, 130, WPA2, CCMP, MGT, -70,        2,        0,   0.  0.  0.  0,  15, Spectrum Mobile, 
F8:E7:1E:89:31:E8, 2022-03-08 12:36:31, 2022-03-08 12:36:31,  6, 130, OPN, ,   , -70,        2,        0,   0.  0.  0.  0,  19, Spectrum Free Trial, 
F8:E7:1E:49:31:E8, 2022-03-08 12:36:31, 2022-03-08 12:36:31,  6, 130, WPA2, CCMP, MGT, -70,        3,        0,   0.  0.  0.  0,   8, Spectrum, 
A8:9A:93:97:8E:D6, 2022-03-08 12:36:16, 2022-03-08 12:36:20, 11, 195, WPA2, CCMP, PSK, -70,        7,        2,   0.  0.  0.  0,  19, MySpectrumWiFid0-2G, 
A0:40:A0:82:FA:78, 2022-03-08 12:36:22, 2022-03-08 12:36:22,  8, 195, WPA2, CCMP, PSK, -71,        1,        2,   0.  0.  0.  0,   9, NETGEAR86, 
F6:CB:BC:49:C6:4C, 2022-03-08 12:36:39, 2022-03-08 12:36:39,  1, 360, WPA2 WPA, CCMP TKIP, PSK, -72,        2,        0,   0.  0.  0.  0,  11, NON-RIS-PWL, 
54:13:79:DE:15:1F, 2022-03-08 12:36:38, 2022-03-08 12:36:39,  6, 195, WPA2, CCMP, PSK, -72,        2,        0,   0.  0.  0.  0,  11, DVW3201B1C., 
8E:DC:96:79:83:84, 2022-03-08 12:36:24, 2022-03-08 12:36:27,  6, 360, WPA2, CCMP, PSK, -72,        7,        0,   0.  0.  0.  0,   9, CBC_GUEST, 
00:11:50:0E:2F:81, 2022-03-08 12:36:31, 2022-03-08 12:36:31, 11,  54, WPA, TKIP, PSK, -73,        1,        0,   0.  0.  0.  0,   9, belkin54g, 
28:56:5A:B5:3C:02, 2022-03-08 12:36:24, 2022-03-08 12:36:24,  1, 195, WPA2, CCMP, PSK, -73,        3,        0,   0.  0.  0.  0,   3, Dan, 
22:AD:56:3B:41:25, 2022-03-08 12:36:31, 2022-03-08 12:36:39,  1,  65, WPA2, CCMP TKIP, PSK, -73,        8,        0,   0.  0.  0.  0,  11, Hotspot4125, 
EA:CB:BC:49:C6:4C, 2022-03-08 12:36:39, 2022-03-08 12:36:39,  1, 360, WPA2 WPA, CCMP TKIP, MGT, -74,        2,        0,   0.  0.  0.  0,   0, , 
E0:CB:BC:49:C6:4C, 2022-03-08 12:36:39, 2022-03-08 12:36:39,  1, 360, WPA2 WPA, CCMP TKIP, PSK, -74,        2,        0,   0.  0.  0.  0,   0, , 
14:B7:F8:11:FB:B4, 2022-03-08 12:36:31, 2022-03-08 12:36:31,  6, 195, WPA2, CCMP, PSK, -74,        0,        0,   0.  0.  0.  0,   9, TC8717TAE, 
C2:CB:BC:49:C6:4C, 2022-03-08 12:36:39, 2022-03-08 12:36:39,  1, 360, WPA2 WPA, CCMP TKIP, PSK, -75,        1,        0,   0.  0.  0.  0,   0, , 
E6:CB:BC:49:C6:4C, 2022-03-08 12:36:39, 2022-03-08 12:36:39,  1, 360, WPA2 WPA, CCMP TKIP, PSK, -75,        1,        0,   0.  0.  0.  0,   0, , 
88:DC:96:79:83:84, 2022-03-08 12:36:24, 2022-03-08 12:36:27,  6, 360, WPA2, CCMP, PSK, -75,        3,        0,   0.  0.  0.  0,   0, , 
18:78:D4:32:AF:F8, 2022-03-08 12:36:23, 2022-03-08 12:36:23, 11, 195, WPA2, CCMP, PSK, -75,        2,        0,   0.  0.  0.  0,  10, Fios-RD8KY, 
68:72:51:7E:D4:22, 2022-03-08 12:36:34, 2022-03-08 12:36:34, 11,  -1, WPA, ,   , -76,        0,        1,   0.  0.  0.  0,   0, , 
20:A6:CD:24:42:01, 2022-03-08 12:36:03, 2022-03-08 12:36:24,  1, 195, OPN, ,   , -76,       11,        0,   0.  0.  0.  0,  19, McDonalds Free WiFi, 
28:56:5A:AB:3F:DA, 2022-03-08 12:36:31, 2022-03-08 12:36:35,  1, 195, WPA2, CCMP, PSK, -77,        4,        0,   0.  0.  0.  0,   9, O'Daniels, 
2C:30:33:65:9D:26, 2022-03-08 12:36:29, 2022-03-08 12:36:32,  2, 130, WPA2, CCMP, PSK, -77,        3,        0,   0.  0.  0.  0,   4, None, 
20:A6:CD:24:42:02, 2022-03-08 12:36:06, 2022-03-08 12:36:24,  1, 195, OPN, ,   , -77,       12,        0,   0.  0.  0.  0,   4, eBOS, 
B8:F8:53:EA:08:6A, 2022-03-08 12:36:24, 2022-03-08 12:36:28,  1, 260, WPA2, CCMP, PSK, -78,        3,        0,   0.  0.  0.  0,  10, Fios-6W5yB, 
94:53:30:FA:DA:81, 2022-03-08 12:36:21, 2022-03-08 12:36:24,  1, 195, WPA2, CCMP, PSK, -79,        2,        0,   0.  0.  0.  0,  10, WIFIFADA7D, 
48:5D:36:6E:5F:98, 2022-03-08 12:36:32, 2022-03-08 12:36:32,  1, 195, WPA2, CCMP, PSK, -82,        1,        0,   0.  0.  0.  0,  10, FiOS-76C3M, 
18:1B:EB:CA:3A:83, 2022-03-08 12:35:15, 2022-03-08 12:35:59,  6, 130, WPA2 WPA, CCMP TKIP, PSK, -72,       30,        1,   0.  0.  0.  0,  13, AbbottRdPizza, 
